Date,Open,High,Low,Close,Adj Close,Volume
16-07-2021,139.690002,139.789993,133.509995,134.309998,134.309998,6094600
19-07-2021,131.360001,133.770004,130.309998,131.880005,131.880005,7215700
20-07-2021,132.75,137.434998,131.699997,136.089996,136.089996,6274600
21-07-2021,136.710007,140.149994,135.725006,139.25,139.25,5269600
22-07-2021,141.289993,141.289993,137.660004,139.470001,139.470001,4628400
23-07-2021,139.800003,140,137.410004,138.729996,138.729996,2811100
26-07-2021,139.130005,142.190002,137.199997,142,142,6489500
27-07-2021,141.255005,142.520004,138.309998,141.580002,141.580002,5113100
28-07-2021,141.309998,143.729996,141.029999,143.300003,143.300003,4466800
29-07-2021,143.645996,145,141.710007,143.470001,143.470001,5005500
30-07-2021,141.75,144.690002,141.740005,144.009995,144.009995,4167100
02-08-2021,143.850006,146.270004,143.399994,145.490005,145.490005,4522400
03-08-2021,147.727997,147.789993,143.279999,145.649994,145.649994,5491000
04-08-2021,145.100006,147.460007,145.009995,147.399994,147.399994,4631400
05-08-2021,146.669998,150.410004,146.399002,150.320007,150.320007,4737500
06-08-2021,148.990005,150.190002,147.550003,149.990005,149.990005,4043500
09-08-2021,148.740005,151,148.699997,149.440002,149.440002,5541900
10-08-2021,149.365005,150.759995,147.850006,147.949997,147.949997,5149800
11-08-2021,147.539993,149.279999,145.158005,148.160004,148.160004,6717700
12-08-2021,148.860001,151.679993,146.550003,151.149994,151.149994,8794100
13-08-2021,146.660004,152.759995,144.509995,152.759995,152.759995,16789100
16-08-2021,151.990005,152.029999,144.899994,148.570007,148.570007,7715200
17-08-2021,145,148.199997,143.580002,143.899994,143.899994,7855100
18-08-2021,144.020004,148.679993,141.699997,146.740005,146.740005,5190100
19-08-2021,143.791,145.279999,141.919998,142.649994,142.649994,4732400
20-08-2021,142,143.949005,141.5,143.699997,143.699997,2996200
23-08-2021,144.899994,147.630005,144.149994,146.789993,146.789993,4727400
24-08-2021,147,161.979996,146.5,161.419998,161.419998,22096800
25-08-2021,158.764008,163.059006,158,160.350006,160.350006,7267700
26-08-2021,159.339996,159.5,151.449997,152.729996,152.729996,7243000
27-08-2021,152.251007,156.440002,151.449997,154.179993,154.179993,4818800
30-08-2021,154.410004,157.490005,151.919998,156.020004,156.020004,3968700
31-08-2021,155.940002,158.149994,153.580002,154.990005,154.990005,7404000
01-09-2021,154.839996,158.639999,154.289993,156.589996,156.589996,4324700
02-09-2021,156.5,159.460007,156.5,157.199997,157.199997,3301000
03-09-2021,158.050003,160.639999,157.199997,158,158,4456400
07-09-2021,159.720001,165.735001,159.550003,165,165,11008800
08-09-2021,163.229996,166.550003,161.600006,163.929993,163.929993,5866500
09-09-2021,163,166.970001,160.830002,166,166,5935800
10-09-2021,166.949997,168.235992,165.009995,165.199997,165.199997,3985300
13-09-2021,160.25,162.990005,154.789993,160.320007,160.320007,7520900
14-09-2021,160.660004,164.699997,159.410004,163.300003,163.300003,4655500
15-09-2021,162.320007,166.630005,160.490005,166.369995,166.369995,5656000
16-09-2021,165.259995,169.449997,165.039993,168.149994,168.149994,6094800
17-09-2021,169.300003,170,163.610001,166.589996,166.589996,20024700
20-09-2021,162.240005,166.539993,159.445007,161.639999,161.639999,6846800
21-09-2021,164,170.009995,162.960007,169.289993,169.289993,8592500
22-09-2021,170.029007,171.809998,167.371002,169.960007,169.960007,4353600
23-09-2021,171.550003,176,170.5,175.130005,175.130005,5370800
24-09-2021,174.529999,176.960007,173.610001,175.880005,175.880005,4084900
27-09-2021,175,176.319,172.020004,174.259995,174.259995,3551400
28-09-2021,172.516006,173.559998,166.899994,168.580002,168.580002,4362800
29-09-2021,170.100006,171.220993,166.550003,168.070007,168.070007,2788700
30-09-2021,168.100006,169.5,165.710007,167.75,167.75,2662500
01-10-2021,170.309998,173.199997,168.550003,173.009995,173.009995,4963000
04-10-2021,171.990005,172.259995,164.029999,164.5,164.5,4459400
05-10-2021,165.669998,166.589996,162.429993,164.740005,164.740005,4340100
06-10-2021,161.389999,167.320007,160.630005,167.25,167.25,2461500
07-10-2021,170,171.270004,168.600006,169.600006,169.600006,2119600
08-10-2021,170.100006,174.100006,169.479996,169.970001,169.970001,2265100
11-10-2021,170,171.539993,166.630005,166.669998,166.669998,2046300
12-10-2021,172.694,175.899994,171.229996,172.75,172.75,6028100
13-10-2021,173,175.190002,171.800003,173.580002,173.580002,3521900
14-10-2021,175.240005,176.75,170.039993,170.5,170.5,4139400
15-10-2021,171.899994,172.949997,168.580002,169.179993,169.179993,3592700
18-10-2021,167.5,172.699997,167.110001,172.320007,172.320007,2793700
19-10-2021,172.570007,172.809998,170.059998,170.740005,170.740005,2776600
20-10-2021,170.059998,171.940002,168.199997,169.759995,169.759995,2687000
21-10-2021,169.074005,171.529999,167.699997,170.5,170.5,2889400
22-10-2021,169.300003,169.440002,165.160004,166.639999,166.639999,2986000
25-10-2021,166.690002,170.328995,166.649994,169.240005,169.240005,2620800
26-10-2021,170.399994,172,167.899994,171.139999,171.139999,2937900
27-10-2021,170.740005,172.649994,168.880005,169.100006,169.100006,3009800
28-10-2021,170.199997,171.850006,168.710007,171.699997,171.699997,2143700
29-10-2021,171.389999,171.389999,168.848999,170.660004,170.660004,2294400
01-11-2021,170.5,175.440002,170.5,174.600006,174.600006,4401100
02-11-2021,174.949997,175.300003,170.580002,172.869995,172.869995,3292100
03-11-2021,171.889999,173.75,170.929993,172.869995,172.869995,2827100
04-11-2021,175.949997,179.434998,173.960007,178.449997,178.449997,9664600
05-11-2021,186.149994,203.294998,185.944,201.619995,201.619995,27330500
08-11-2021,203.350006,211.335999,199.75,200.320007,200.320007,12855300
09-11-2021,201.440002,201.5,187.5,194.679993,194.679993,9056100
10-11-2021,190.229996,195,189.279999,192.220001,192.220001,6704100
11-11-2021,195.199997,197.929993,190.770004,191.610001,191.610001,5899000
12-11-2021,192.464996,208.160004,192.059998,206.539993,206.539993,12057800
15-11-2021,206.199997,209.240005,204.160004,207.210007,207.210007,7479300
16-11-2021,205.589996,209.929993,203.470001,207.039993,207.039993,4431300
17-11-2021,207,212.584,198.399994,199.110001,199.110001,6383400
18-11-2021,199.339996,205,196,204.330002,204.330002,4597700
19-11-2021,196.600006,199.360001,190.5,196.419998,196.419998,8181900
22-11-2021,190.440002,190.759995,176.720001,181.729996,181.729996,12619800
23-11-2021,181.143005,183.729996,175.25,178.270004,178.270004,6451900
24-11-2021,175.630005,182.779999,175,179.889999,179.889999,4763300
26-11-2021,167.759995,174.639999,167.039993,173.860001,173.860001,6044100
29-11-2021,176.880005,180.699997,175.899994,180.080002,180.080002,5317400
30-11-2021,176.404999,180.639999,170.921005,172.539993,172.539993,10682700
01-12-2021,174.009995,180.130005,162.029999,163.080002,163.080002,7645700
02-12-2021,161.360001,170.294998,160.490005,169.600006,169.600006,5687600
03-12-2021,168.979996,170.729996,162.139999,166.75,166.75,6460900
06-12-2021,167.274994,181.929993,162.850006,180.850006,180.850006,9813800
07-12-2021,185.610001,187.5,182.020004,183.139999,183.139999,6264600
08-12-2021,186,187.5,182.139999,186.490005,186.490005,4218700
09-12-2021,182.089996,185.302002,179.279999,181.460007,181.460007,3518000
10-12-2021,178.149994,181.100006,175.854004,180.419998,180.419998,3980400
13-12-2021,178.25,180,168.889999,171.039993,171.039993,7263700
14-12-2021,168.298004,169.910004,164.5,167.960007,167.960007,5660400
15-12-2021,167.639999,168.960007,160.179993,168.139999,168.139999,6678500
16-12-2021,166.25,167.729996,153.600006,156.380005,156.380005,9415100
17-12-2021,154.619995,158.309998,149.440002,157.910004,157.910004,24062400
20-12-2021,151.160004,158.479996,151,157.229996,157.229996,4639300
